chrom,TSS,TES,symbol,log2FoldChange,peak_chrom,start,end,peak_id,peak_count,strand,number_of_overlaps,id,TKO_mean_exp
chr1,4856314,4859313,Tcea1,-0.36917956488692055,.,-1,-1,.,-1,.,0,ENSMUSG00000033813,13.161170218371472
chr1,10036669,10039668,Cops5,0.2307491942303062,.,-1,-1,.,-1,.,0,ENSMUSG00000025917,11.81084184873846
chr1,21077730,21080729,Tram2,-0.6646977432751239,chr1,20989801,21100599,peak_50,292.92587487384884,.,2999,ENSMUSG00000041779,10.153630522147303
chr1,23920818,23923817,Smap1,0.032437890835279655,chr1,23922601,23924199,peak_55,2.125256001432084,.,1216,ENSMUSG00000026155,12.285295307040238
chr1,36243221,36246220,Uggt1,-0.12033393862280896,.,-1,-1,.,-1,.,0,ENSMUSG00000037470,12.02353202112082
chr1,36367682,36370681,Kansl3,-0.16296514137420928,.,-1,-1,.,-1,.,0,ENSMUSG00000010453,11.632794095203122
chr1,37888977,37891976,Mrpl30,-0.2780076752610427,chr1,37888401,37889599,peak_97,2.0180129696099725,.,622,ENSMUSG00000026087,11.076213499567514
chr1,38984108,38987107,Pdcl3,0.02957942667842074,chr1,38971601,38991599,peak_102,88.85701305907843,.,2999,ENSMUSG00000026078,11.231813228608232
chr1,40428070,40431069,Il1rl1,-5.2884575011266755,chr1,40379401,40480399,peak_124,470.7865374264519,.,2999,ENSMUSG00000026069,10.990447885775197
chr1,52499180,52502179,Nab1,-0.18938074344231476,.,-1,-1,.,-1,.,0,ENSMUSG00000002881,11.120678683165423
chr1,58793874,58796873,Casp8,-0.6295468515405795,chr1,58792801,58799999,peak_198,9.654146176269633,.,2999,ENSMUSG00000026029,10.226330042833359
chr1,58971931,58974930,Trak2,-0.1578391432361504,chr1,58951801,58972599,peak_200,14.416531427576981,.,668,ENSMUSG00000026028,11.976105479431366
chr1,74504558,74507557,Cnot9,-0.5871713002176498,.,-1,-1,.,-1,.,0,ENSMUSG00000026174,13.155017871101577
chr1,75167146,75170145,Zfand2b,-0.06390121968120885,.,-1,-1,.,-1,.,0,ENSMUSG00000026197,10.356940646490788
chr1,75316491,75319490,Dnpep,0.24510465845886595,.,-1,-1,.,-1,.,0,ENSMUSG00000026209,10.533587644847737
chr1,75504953,75507952,Obsl1,0.650675865260215,chr1,75503201,75505599,peak_294,3.731905968779157,.,646,ENSMUSG00000026211,13.324963324769602
chr1,78487398,78490397,Farsb,-0.4876571045683847,.,-1,-1,.,-1,.,0,ENSMUSG00000026245,10.792111648013593
chr1,78656325,78659324,Acsl3,0.41210965151358275,chr1,78644001,78657599,peak_310,53.21886999384099,.,1274,ENSMUSG00000032883,13.659419844295103
chr1,86062887,86065886,Psmd1,-0.14184531369183243,.,-1,-1,.,-1,.,0,ENSMUSG00000026229,13.791915035282171
chr1,86581130,86584129,Pde6d,0.16996509493793147,.,-1,-1,.,-1,.,0,ENSMUSG00000026239,13.227798323844773
chr1,87851787,87854786,Dgkd,-0.44672461876344555,chr1,87839001,87852799,peak_375,28.569314980805363,.,1012,ENSMUSG00000070738,10.132205107212165
chr1,91799961,91802960,Twist2,-0.5786547999073238,chr1,91797401,91827999,peak_425,117.97918760014703,.,2999,ENSMUSG00000007805,12.066638630918455
chr1,92472361,92475360,Ndufa10,-0.08679209432496963,.,-1,-1,.,-1,.,0,ENSMUSG00000026260,14.990207408047938
chr1,93657160,93660159,Stk25,-0.13003149984916362,.,-1,-1,.,-1,.,0,ENSMUSG00000026277,11.91486601559263
chr1,93800435,93803434,Dtymk,-0.7877997974192995,chr1,93800001,93803599,peak_442,10.706916494911518,.,2999,ENSMUSG00000026281,14.653636436450185
chr1,118320339,118323338,Nifk,-0.20992795013854104,.,-1,-1,.,-1,.,0,ENSMUSG00000026377,10.741963387522064
chr1,119503295,119506294,Ralb,-0.29549478025957704,chr1,119500401,119513799,peak_484,40.691738385111314,.,2999,ENSMUSG00000004451,13.721789492914402
chr1,128242464,128245463,Ubxn4,-0.08175967564659556,.,-1,-1,.,-1,.,0,ENSMUSG00000026353,12.674122853491548
chr1,128415869,128418868,Dars,-0.0036966674196491855,chr1,128391201,128416399,peak_511,12.042095092310408,.,530,ENSMUSG00000026356,10.434295830675605
chr1,132006107,132009106,Elk4,0.05044347275789941,.,-1,-1,.,-1,.,0,ENSMUSG00000026436,13.854512053598162
chr1,132138185,132141184,Cdk18,-0.38623517968478704,chr1,132121401,132155199,peak_524,116.20740341589327,.,2999,ENSMUSG00000026437,12.519080203725679
chr1,132297126,132300125,Klhdc8a,-0.2164278717010418,chr1,132279401,132301799,peak_527,99.91932362570542,.,2999,ENSMUSG00000042115,14.378903916333131
chr1,133608792,133611791,Snrpe,-0.09827392217664607,.,-1,-1,.,-1,.,0,ENSMUSG00000090553,14.365496239764216
chr1,134360480,134363479,Tmem183a,-0.0722317616741511,.,-1,-1,.,-1,.,0,ENSMUSG00000042305,13.437349618892439
chr1,152764852,152767851,Rgl1,-0.7905730465810825,.,-1,-1,.,-1,.,0,ENSMUSG00000026482,12.79210119953341
chr1,153486161,153489160,Dhx9,-0.3754068261692611,.,-1,-1,.,-1,.,0,ENSMUSG00000042699,13.606101580153476
chr1,156033903,156036902,Tor1aip2,-0.11689069214257757,.,-1,-1,.,-1,.,0,ENSMUSG00000050565,10.636116886337115
chr1,160211376,160214375,Cacybp,-0.2733380379187355,.,-1,-1,.,-1,.,0,ENSMUSG00000014226,10.3731602879716
chr1,161249720,161252719,Prdx6,0.041269833008173294,chr1,161247201,161254399,peak_663,6.7098748968564035,.,2999,ENSMUSG00000026701,10.608805767268793
chr1,167348491,167351490,Aldh9a1,-0.26175543416865354,chr1,167348001,167349199,peak_705,3.655912413059216,.,708,ENSMUSG00000026687,13.146353478633678
chr1,170173458,170176457,Uap1,-0.5789126274434226,chr1,170170601,170178599,peak_722,13.956083966776534,.,2999,ENSMUSG00000026670,11.086975099759186
chr1,171293525,171296524,Ufc1,0.11615309781265311,chr1,171286201,171296599,peak_732,16.11925458421374,.,2999,ENSMUSG00000062963,12.774883726033234
chr1,171344170,171347169,Pfdn2,0.1210976147799083,chr1,171346801,171351999,peak_734,3.9290933994727006,.,368,ENSMUSG00000006412,10.584868377206549
chr1,171409813,171412812,Usf1,0.3489143071568531,chr1,171412801,171416199,peak_735,4.0758750781615145,.,11,ENSMUSG00000026641,11.579628918606174
chr1,172125255,172128254,Pex19,0.6643804975101493,.,-1,-1,.,-1,.,0,ENSMUSG00000003464,11.459431072866167
chr1,172260141,172263140,Igsf8,-0.029547618642066308,.,-1,-1,.,-1,.,0,ENSMUSG00000038034,11.084291282747595
chr1,175624136,175627135,Fh1,-0.11468696294432977,.,-1,-1,.,-1,.,0,ENSMUSG00000026526,12.261221894189674
chr1,181210502,181213501,Wdr26,0.1892137081639052,.,-1,-1,.,-1,.,0,ENSMUSG00000038733,11.119714680339662
chr1,183220023,183223022,Disp1,0.624207920246436,chr1,183184201,183230599,peak_821,93.69164573454673,.,2999,ENSMUSG00000030768,10.030259284039891
chr1,184011802,184014801,Dusp10,-0.34404583332184785,.,-1,-1,.,-1,.,0,ENSMUSG00000039384,12.694954866632902
chr1,189726768,189729767,Ptpn14,0.2452071388615125,chr1,189705801,189733799,peak_850,77.22407763280627,.,2999,ENSMUSG00000026604,13.776652733378532
chr1,189920864,189923863,Smyd2,-0.1896461932027759,.,-1,-1,.,-1,.,0,ENSMUSG00000026603,14.397693120057697
chr2,3112724,3115723,Fam171a1,-0.7065144539267991,.,-1,-1,.,-1,.,0,ENSMUSG00000050530,10.545697306408059
chr2,3282712,3285711,Nmt2,-0.2639610101775157,chr2,3272801,3283399,peak_6511,47.20227639385631,.,687,ENSMUSG00000026643,13.314431254515604
chr2,5843665,5846664,Cdc123,-0.1645645522230321,.,-1,-1,.,-1,.,0,ENSMUSG00000039128,11.330638899270284
chr2,18675518,18678517,Bmi1,0.35459548120158957,chr2,18671401,18695599,peak_6579,22.38599410248165,.,2999,ENSMUSG00000026739,10.331516122852943
chr2,23154869,23157868,Yme1l1,0.3416276317716631,.,-1,-1,.,-1,.,0,ENSMUSG00000026775,12.450689771007529
chr2,25052855,25055854,Nsmf,0.03435255552293742,.,-1,-1,.,-1,.,0,ENSMUSG00000006476,11.898851727849987
chr2,25195387,25198386,Tor4a,-0.20913824946327025,chr2,25193001,25198399,peak_6605,44.55379230711281,.,2999,ENSMUSG00000059555,13.995025182972807
chr2,25261118,25264117,Tprn,0.47728901074296937,chr2,25263801,25274399,peak_6607,16.082697046919424,.,316,ENSMUSG00000048707,10.661983597864834
chr2,25427203,25430202,Abca2,-0.6450019163668864,.,-1,-1,.,-1,.,0,ENSMUSG00000026944,14.663301001509687
chr2,25607022,25610021,Rabl6,-0.025520938520219735,.,-1,-1,.,-1,.,0,ENSMUSG00000015087,14.102931706367341
chr2,26350611,26353610,Dnlz,5.660165921980863e-4,.,-1,-1,.,-1,.,0,ENSMUSG00000075467,12.362496714774526
chr2,26387817,26390816,Entr1,-0.1446130212671684,.,-1,-1,.,-1,.,0,NA,NA
chr2,26602918,26605917,Agpat2,0.11937427413128421,chr2,26597001,26608799,peak_6622,23.62871684444812,.,2999,ENSMUSG00000026922,13.436100756225018
chr2,26915031,26918030,Surf1,-0.04218173704774893,.,-1,-1,.,-1,.,0,ENSMUSG00000015790,14.363665816542861
